index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8408,2020-03-05,WA,53,731.0,672.0,20.0,,,,4,105.0,255.0,4,672.0,496.0,18.0,1168.0,0.036290322580645164,0.4246575342465753,2.3886646714239137e-06,,,,6.58209820570145e-05,0.00015499779645684062,0.39880239520958083,0.344400058747108,0.0027974996141379854,-0.07594126814863428,-0.08219178082191782,0.7428571428571429,0.6686618395926657
8409,2020-03-05,WI,55,1.0,19.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8350,2020-03-06,AK,2,0.0,8.0,0.0,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8351,2020-03-06,AR,5,0.0,6.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8352,2020-03-06,AZ,4,3.0,33.0,,,,,0,1.0,5.0,0,6.0,1.0,0.0,7.0,0.0,0.14285714285714285,0.0,,,,1.3943800349320086e-07,9.76066024452406e-07,6.0,6.0,0.0,0.14285714285714285,0.07142857142857142,1.0,1.0
8353,2020-03-06,CA,6,60.0,462.0,,,,,0,7.0,0.0,0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,,,,1.7695962880948262e-07,1.7695962880948262e-07,inf,0.0,0.0,1.0,1.0,1.0,1.0
8354,2020-03-06,CO,8,2.0,46.0,,,,,0,2.0,27.0,0,27.0,2.0,0.0,29.0,0.0,0.06896551724137931,0.0,,,,3.5115047429894566e-07,5.091681877334712e-06,inf,0.0,0.0,0.06896551724137931,0.06896551724137931,1.0,1.0
8355,2020-03-06,DC,11,0.0,8.0,,,,,0,0.0,2.0,0,2.0,0.0,0.0,2.0,,0.0,0.0,,,,0.0,2.8471574691617255e-06,inf,0.0,,0.0,0.0,,0.0
8356,2020-03-06,DE,10,0.0,10.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8357,2020-03-06,FL,12,9.0,55.0,,,,,0,0.0,24.0,0,31.0,7.0,0.0,38.0,0.0,0.18421052631578946,0.0,,,,3.286489125829105e-07,1.7840940968786569e-06,1.7142857142857142,1.7142857142857142,0.0,-0.3157894736842105,0.09210526315789475,,1.0
